n,percentage,count
0,1.0,1
1,0.3,3
2,0.2,20
3,0.143,143
4,0.1442,1442
5,0.1438,14377
6,0.1431,143071
7,0.1419,1418854
8,0.1426,14255667
9,0.1457,145674808
10,0.1493,1492609148
11,0.1509,15091199357
12,0.1491,149121303586
13,0.1443,1443278000870
14,0.1377,13770853279685
15,0.1307,130660965862333
16,0.1245,1245219117260664
17,0.1202,12024696404768025
18,0.1182,118226055080025491
19,0.1183,1183229962059381238
20,0.1201,12005034444292997294
21,0.1228,122785190246185587551
22,0.126,1259524787285051815380
23,0.1291,12913232430967035726519
24,0.1321,132087236868792864354509
25,0.1347,1347314115652568512997162
26,0.1371,13707408264450094610455915
27,0.1392,139165508253739389639963569
28,0.1411,1410616351507026166412037867
29,0.1428,14280978717012680310813660395
30,0.1444,144448924996550743460824493865
31,0.146,1460153232118895907877063723873
32,0.1475,14754626485492792191142798468581
33,0.1491,149078201202261681321641569878502
34,0.1506,1506397275343917375078743875054291
35,0.1522,15224234071679500252539160536833113
36,0.1539,153872765298226785620000866149209572
37,0.1555,1554898880201098907258601505384853448
38,0.157,15702768358166826054613836945448152093
39,0.1584,158403690021043484662623117030751545593
40,0.1595,1595311807187841592383873703571242712082
41,0.1603,16033248363292732475272334653863099440192
42,0.1608,160750937619630167382888715884676403583811
43,0.1608,1607595665888606352231265289855421563588180
44,0.1604,16036541734742024119293964920687353708910838
45,0.1596,159609379328597880739783251274335698155484405
46,0.1586,1585619969909497967775006001969001101474812887
47,0.1573,15731621703455247835420643267580994612933899381
48,0.156,155978193809748619241241523414783915526501945836
49,0.1547,1546572742534196203149041450307615137376692786046
50,0.1535,15345617889236243079644287641442711111347856410176
51,0.1525,152462249782063451449301273914268994633968300812303
52,0.1517,1517404786295377458883909655148095414808551991991302
53,0.1513,15132885828912630021982348646330215759959446493652137
54,0.1512,151236403550161709524150486389505855346170930698444256
55,0.1514,1514439515550151101215124092654598100789560589451338095
56,0.1519,15190758386668292289948544510699759732915903880578807445
57,0.1526,152564237144473452175124493364321603624414275419323598719
58,0.1533,1533388283649255831945683538656772577882994351164642498958
59,0.1542,15415205724250127842686021540215094287403874036934738112913
60,0.1549,154927996293365555867025512099036163811164783449882189935958
61,0.1556,1556006506655103116024997759108349855339555479324402557544154
62,0.1561,15611885367303302764377698882152184156166153975398824260806182
63,0.1564,156449126313322122184310013474764419410118582030456852176044532
64,0.1566,1565764226106697914509959449134800981430261525428585457240908580
65,0.1565,15650295732705829014558365516003749212451113986048777039097338674
66,0.1562,156245526133958147741307974703645689951075741042083324719729151617
67,0.1558,1558318540479043562242073665314054501038602902604096120842545351745
68,0.1553,15529653813484454552984773753604912635330619024410795758856905285061
69,0.1547,154677095521641836698612374674441485632749319911824352470568332163016
70,0.154,1540105113133576451986897897207192045973025598801813958078625328756720
71,0.1533,15333053348327766209800595406555764963429164937384630422423106496153193
72,0.1527,152665813310828773859673665695466114674695878717914958668255168023935650
73,0.152,1520388646922772117329354328185880826942310519121459364401644622171317970
74,0.1515,15146572845700471534354217661534645991404935019700290899615402545711507399
75,0.151,150956183201612545621258414558489743742619492420428739210662214380147337653
76,0.1505,1505143376438143235306132007625968435932517826707255825436813456598834366172
77,0.1501,15013946052550838223725405754620560709588961819233481709851511348766502753823
78,0.1498,149826939477566032131237867340668344695352922421435808995038052950051555771635
79,0.1496,1495692974943417369449969228367144533202024655875703081198341299665190219297820
80,0.1494,14935722536822180610529218999377715480849836898941350987568655039228035305348429
81,0.1492,149180605598835925958388538725025454461428953633244260844167275554315314667031636
82,0.149,1490295073649483969448078296596277187448367011324172611290484140090740305148352166
83,0.1489,14889512614427006823871257893322751373604632104165205422016705069236190496680571986
84,0.1488,148770630614515885987040664208739852885569470369493648819295944173250101076397340466
85,0.1487,1486518692022137719769671492812311673501072480964145543759208995370661947683747055038
86,0.1485,14853788381380389596235364560834487366709629812513012430589651658104196507285429512473
87,0.1484,148431181815841070397572720630240444838671596178482085687208819718938654731206672265253
88,0.1483,1483377299547904603927464769790608686193600095804601024341768183636464597290109336810638
89,0.1483,14826665428461046749741218339144595646613337998440832219087964939400071719923534078527846
90,0.1482,148229655426300560702084258206073889893223917430558635250346878599749583942993297553045616
91,0.1482,1482401749384747442683398844954909363088587905703132547535386778478465377483145520799888833
92,0.1483,14831237250998215401323169047430763754378366703827831022267536506919957159567395045188491744
93,0.1485,148459991970169119699005942899547766884135245190639857348016124261705138034610456472042927471
94,0.1487,1486952046483438791519170581380889544333333238515271332981546161477807421913508294639018790951
95,0.149,14902752050345198098508567854412047189840049463079766815537075421353170036718589565750368607277
96,0.1495,149462850948193561974552669093963822653768728103032499619973293941799175674104493320856059585924
97,0.15,1500027936140217971109653444184590828766441832678302030901425571147431130984897955875223743353482
98,0.1506,15064419028697804135061950447338459702700646891603753064653581871871737233773964018968607135049393
99,0.1514,151378987038709990070983192824047308009778787132895855591676386845130289171804414595246301374790130
100,0.1522,1521944023449204466010358371880215433543610143077774163136941899166851777762189716315806623295546378
101,0.1531,15307338667802898984016801699880140978297041032319661336555926683398261941170933223910145457787010660
